AC, 1567µs, 0 6 0 10 18 0 32 4 0 0 0 28 0 0 35 0 17 21 3 0 0 14 34 2 0 15 0 12 19 31 22 29 0 36 7 0 
AC, 2071µs, 0 0 0 0 35 0 0 20 0 19 7 0 36 2 0 22 0 9 30 0 0 3 17 0 1 29 4 0 26 28 27 8 0 31 16 24 
AC, 1061µs, 19 13 0 6 0 7 31 0 0 29 5 10 15 27 0 36 1 0 3 17 24 11 0 0 0 16 2 0 0 0 23 0 0 4 0 33 
AC, 1259µs, 35 6 25 0 24 0 7 1 15 0 31 0 0 36 12 14 0 19 9 0 0 0 0 33 10 20 0 0 0 4 23 22 30 0 0 21 
AC, 1261µs, 19 0 34 6 32 0 0 8 0 0 5 0 15 27 14 36 0 0 0 17 24 11 35 0 20 16 2 25 26 0 0 0 0 0 12 33 
AC, 2583µs, 0 6 25 16 24 5 0 0 15 0 31 29 27 0 0 14 3 19 0 0 18 0 17 33 0 0 11 32 34 0 0 0 30 0 2 21 
AC, 1797µs, 19 7 36 0 34 0 0 23 26 0 0 25 0 0 30 17 24 0 0 22 10 0 20 35 0 0 4 28 0 13 0 8 5 31 0 29 
AC, 1321µs, 6 18 0 0 0 14 0 0 0 19 7 21 36 0 0 22 10 9 0 0 0 0 17 15 1 29 0 23 0 28 27 8 5 31 16 0 
AC, 1639µs, 28 1 0 18 0 0 9 36 22 0 23 0 0 0 2 32 24 0 13 25 0 0 31 0 26 21 0 14 10 0 5 12 0 35 3 0 
AC, 2000µs, 31 19 0 11 0 0 0 0 35 21 0 25 15 17 0 0 5 22 7 24 0 14 26 36 33 0 0 0 30 0 16 18 28 34 0 0 
AC, 2363µs, 19 0 36 12 34 0 0 0 0 14 0 0 0 0 30 17 24 6 15 0 0 9 20 35 32 33 0 28 0 13 0 8 5 31 0 29 
AC, 1597µs, 30 6 0 10 18 0 0 4 0 0 0 0 0 24 35 13 0 21 0 0 25 14 34 2 23 0 0 12 19 31 22 29 8 36 0 0 
AC, 1899µs, 6 18 25 13 35 14 11 0 0 19 0 21 0 2 32 22 0 9 30 34 12 3 0 15 0 29 0 23 0 28 0 0 0 0 0 0 
AC, 1733µs, 0 18 0 13 35 14 0 20 0 0 7 21 36 0 0 22 10 9 30 34 0 0 17 15 1 0 0 0 26 28 0 0 5 31 16 0 
